Season,Thermal comfort,Air temperature,Relative humidity,Outdoor air temperature
1,5.0,26.3,51.0,30.8
1,5.0,26.3,51.0,30.8
1,5.0,26.3,51.0,30.8
1,3.0,26.3,51.0,30.8
1,4.0,26.3,51.0,30.8
1,3.0,26.3,51.0,30.8
1,4.0,26.2,56.0,30.8
1,4.0,26.2,56.0,30.8
1,6.0,26.2,56.0,30.8
1,6.0,26.2,56.0,30.8
1,4.0,26.2,56.0,30.8
1,4.0,26.2,56.0,30.8
1,3.0,26.2,56.0,30.8
1,4.0,26.2,56.0,30.8
1,4.0,26.2,56.0,30.8
1,3.0,27.9,55.0,30.8
1,3.0,27.9,55.0,30.8
1,3.0,27.9,55.0,30.8
1,3.0,27.9,55.0,30.8
1,3.0,27.9,55.0,30.8
1,4.0,28.2,48.0,30.8
1,5.0,28.2,48.0,30.8
1,5.0,28.2,48.0,30.8
1,6.0,28.2,48.0,30.8
1,7.0,28.2,48.0,30.8
1,4.0,26.7,47.0,30.8
1,7.0,26.7,47.0,30.8
1,4.0,26.7,47.0,30.8
1,4.0,26.7,47.0,30.8
1,4.0,26.7,47.0,30.8
1,6.0,27.4,51.0,30.8
1,4.0,27.1,52.0,30.8
1,4.0,26.8,53.0,30.8
1,3.0,26.8,53.0,30.8
1,4.0,26.8,53.0,30.8
1,4.0,27.1,55.0,30.8
1,3.0,27.1,55.0,30.8
1,5.0,25.8,66.0,30.8
1,3.0,25.8,66.0,30.8
1,3.0,25.8,66.0,30.8
1,4.0,25.8,66.0,30.8
1,5.0,25.7,47.0,30.8
1,5.0,25.7,47.0,30.8
1,4.0,25.7,47.0,30.8
1,4.0,25.7,47.0,30.8
1,3.0,24.6,46.0,30.8
1,3.0,24.6,46.0,30.8
1,3.0,24.6,46.0,30.8
1,7.0,28.8,59.0,30.8
1,3.0,28.8,59.0,30.8
1,3.0,28.8,59.0,30.8
1,5.0,29.2,59.0,30.8
1,7.0,29.2,59.0,30.8
1,6.0,26.0,54.0,30.8
1,6.0,26.0,54.0,30.8
1,4.0,26.0,54.0,30.8
1,3.0,26.0,54.0,30.8
1,3.0,24.9,51.0,30.8
1,4.0,24.9,51.0,30.8
1,4.0,24.9,51.0,30.8
1,5.0,24.9,51.0,30.8
1,3.0,24.8,53.0,30.8
1,4.0,25.1,50.0,30.8
1,4.0,25.1,50.0,30.8
1,4.0,25.1,50.0,30.8
1,3.0,25.1,50.0,30.8
1,4.0,25.1,50.0,30.8
1,3.0,25.1,50.0,30.8
1,3.0,25.1,50.0,30.8
1,3.0,25.1,50.0,30.8
1,3.0,25.1,50.0,30.8
1,3.0,25.2,50.0,30.8
1,5.0,25.2,50.0,30.8
1,4.0,25.7,50.0,30.8
1,4.0,25.7,50.0,30.8
1,3.0,25.7,50.0,30.8
1,3.0,25.7,50.0,30.8
1,4.0,25.7,50.0,30.8
1,3.0,25.7,50.0,30.8
1,3.0,25.6,50.0,30.8
1,3.0,27.8,46.0,30.8
1,6.0,27.8,46.0,30.8
1,5.0,27.8,46.0,30.8
1,6.0,27.8,46.0,30.8
1,3.0,27.8,46.0,30.8
1,5.0,26.9,39.0,30.8
1,3.0,26.9,39.0,30.8
1,6.0,26.9,39.0,30.8
1,7.0,26.9,39.0,30.8
1,6.0,26.9,39.0,30.8
1,6.0,27.4,43.0,30.8
1,6.0,27.4,43.0,30.8
1,6.0,27.4,43.0,30.8
1,7.0,27.4,43.0,30.8
1,4.0,27.4,43.0,30.8
1,4.0,27.4,43.0,30.8
1,5.0,27.4,43.0,30.8
1,7.0,27.5,43.0,30.8
1,5.0,28.0,48.0,30.8
1,3.0,28.0,48.0,30.8
1,3.0,28.6,46.0,30.8
1,6.0,28.3,50.0,30.8
1,6.0,28.3,50.0,30.8
1,6.0,27.6,46.0,30.8
1,5.0,27.6,46.0,30.8
1,5.0,27.2,43.0,30.8
1,5.0,27.2,43.0,30.8
1,4.0,27.2,43.0,30.8
1,5.0,27.2,43.0,30.8
1,6.0,27.2,43.0,30.8
3,4.0,25.3,50.0,30.4
3,5.0,25.3,50.0,30.4
3,5.0,25.3,50.0,30.4
3,3.0,25.3,50.0,30.4
3,3.0,25.3,50.0,30.4
3,7.0,25.3,50.0,30.4
3,4.0,25.3,50.0,30.4
3,4.0,25.3,50.0,30.4
3,4.0,25.3,50.0,30.4
3,5.0,28.6,42.0,30.4
3,5.0,28.6,42.0,30.4
3,4.0,28.6,42.0,30.4
3,7.0,28.6,42.0,30.4
3,6.0,28.6,42.0,30.4
3,7.0,28.6,42.0,30.4
3,7.0,28.6,42.0,30.4
3,6.0,28.3,44.0,30.4
3,6.0,28.3,44.0,30.4
3,7.0,28.3,44.0,30.4
3,4.0,28.3,44.0,30.4
3,5.0,28.3,44.0,30.4
3,6.0,28.3,44.0,30.4
3,4.0,28.3,44.0,30.4
3,4.0,27.1,42.0,30.4
3,6.0,27.1,42.0,30.4
3,4.0,27.1,42.0,30.4
3,3.0,27.1,42.0,30.4
3,4.0,27.1,42.0,30.4
3,3.0,27.0,43.0,30.4
3,3.0,27.0,43.0,30.4
3,5.0,27.0,43.0,30.4
3,3.0,27.0,43.0,30.4
3,6.0,26.7,59.0,30.4
3,6.0,26.7,59.0,30.4
3,6.0,26.7,59.0,30.4
3,6.0,26.7,59.0,30.4
3,3.0,20.8,59.0,30.4
3,4.0,20.8,59.0,30.4
3,4.0,20.8,59.0,30.4
3,3.0,20.8,59.0,30.4
3,5.0,20.8,59.0,30.4
3,3.0,26.9,60.0,30.4
3,5.0,26.9,60.0,30.4
3,5.0,27.2,69.0,30.4
3,5.0,27.2,69.0,30.4
3,4.0,27.2,69.0,30.4
3,4.0,27.2,69.0,30.4
3,3.0,27.2,69.0,30.4
3,3.0,27.2,69.0,30.4
3,7.0,31.6,66.0,30.4
3,6.0,31.6,66.0,30.4
3,7.0,31.6,66.0,30.4
3,7.0,31.6,66.0,30.4
3,7.0,31.6,66.0,30.4
3,7.0,31.6,66.0,30.4
3,7.0,31.4,68.0,30.4
3,7.0,31.4,68.0,30.4
3,7.0,31.4,68.0,30.4
3,7.0,31.4,68.0,30.4
3,7.0,31.8,67.0,30.4
3,7.0,31.8,67.0,30.4
3,5.0,31.8,67.0,30.4
3,7.0,31.8,67.0,30.4
3,5.0,31.8,67.0,30.4
3,6.0,31.8,67.0,30.4
3,4.0,25.8,45.0,30.4
3,3.0,25.8,45.0,30.4
3,3.0,25.8,45.0,30.4
3,7.0,25.8,45.0,30.4
3,7.0,25.8,45.0,30.4
3,3.0,24.2,48.0,30.4
3,3.0,24.2,48.0,30.4
3,5.0,24.2,48.0,30.4
3,5.0,24.2,48.0,30.4
3,4.0,26.2,41.0,30.4
3,5.0,26.2,41.0,30.4
3,7.0,26.2,41.0,30.4
3,3.0,26.2,41.0,30.4
3,3.0,28.6,44.0,30.4
3,4.0,26.2,53.0,30.4
3,3.0,26.2,53.0,30.4
3,6.0,26.2,53.0,30.4
3,3.0,26.2,53.0,30.4
3,5.0,23.6,50.0,30.4
3,5.0,23.6,50.0,30.4
3,4.0,23.6,50.0,30.4
3,3.0,23.6,50.0,30.4
3,2.0,23.6,50.0,30.4
3,2.0,23.6,50.0,30.4
3,4.0,23.6,50.0,30.4
3,2.0,23.6,50.0,30.4
3,4.0,23.6,50.0,30.4
3,7.0,28.3,49.0,30.4
3,4.0,28.3,49.0,30.4
3,3.0,28.3,49.0,30.4
3,3.0,28.3,49.0,30.4
3,6.0,28.3,49.0,30.4
3,3.0,28.3,49.0,30.4
3,6.0,26.9,47.0,30.4
3,3.0,26.9,47.0,30.4
3,3.0,26.9,47.0,30.4
3,3.0,26.9,47.0,30.4
3,3.0,26.9,47.0,30.4
3,4.0,26.9,47.0,30.4
3,6.0,26.9,47.0,30.4
3,3.0,26.9,47.0,30.4
3,3.0,26.9,47.0,30.4
3,6.0,26.9,47.0,30.4
3,4.0,24.9,47.0,30.4
3,3.0,24.9,47.0,30.4
3,3.0,24.9,47.0,30.4
3,3.0,24.9,47.0,30.4
3,5.0,24.9,47.0,30.4
3,4.0,24.9,47.0,30.4
3,3.0,24.9,47.0,30.4
3,3.0,28.0,47.0,30.4
3,7.0,28.0,47.0,30.4
3,3.0,28.0,47.0,30.4
3,3.0,28.0,47.0,30.4
3,5.0,32.0,63.0,30.4
3,7.0,32.0,63.0,30.4
3,7.0,32.0,63.0,30.4
3,6.0,32.0,63.0,30.4
3,7.0,32.0,63.0,30.4
3,3.0,23.2,69.0,30.4
3,2.0,23.2,69.0,30.4
3,2.0,23.2,69.0,30.4
3,4.0,23.2,69.0,30.4
3,2.0,23.2,69.0,30.4
3,3.0,23.2,69.0,30.4
3,2.0,23.2,69.0,30.4
3,2.0,23.2,69.0,30.4
3,2.0,23.2,69.0,30.4
3,3.0,23.2,69.0,30.4
3,3.0,23.2,69.0,30.4
3,3.0,23.2,69.0,30.4
3,3.0,23.2,69.0,30.4
3,1.0,23.2,69.0,30.4
3,3.0,23.2,69.0,30.4
3,3.0,27.0,52.0,30.4
3,7.0,27.0,52.0,30.4
3,5.0,27.0,52.0,30.4
3,3.0,27.0,52.0,30.4
3,4.0,27.0,52.0,30.4
3,3.0,27.0,52.0,30.4
3,3.0,27.0,52.0,30.4
3,7.0,27.0,52.0,30.4
3,4.0,27.0,52.0,30.4
3,6.0,26.6,51.0,30.4
3,6.0,26.6,51.0,30.4
3,7.0,26.6,51.0,30.4
3,7.0,26.6,51.0,30.4
3,7.0,26.6,51.0,30.4
3,6.0,26.6,51.0,30.4
3,7.0,26.6,51.0,30.4
3,6.0,26.6,51.0,30.4
3,6.0,26.6,51.0,30.4
3,6.0,31.6,67.0,30.4
3,5.0,31.6,67.0,30.4
3,6.0,31.6,67.0,30.4
3,5.0,31.6,67.0,30.4
3,5.0,31.6,67.0,30.4
3,7.0,31.6,67.0,30.4
3,6.0,30.9,72.0,30.4
3,6.0,30.9,72.0,30.4
3,5.0,30.9,72.0,30.4
3,6.0,30.9,72.0,30.4
3,6.0,30.9,72.0,30.4
3,3.0,27.4,56.0,30.4
3,7.0,27.1,63.0,30.4
3,3.0,27.7,55.0,30.4
3,3.0,27.7,55.0,30.4
3,4.0,27.7,55.0,30.4
3,3.0,27.7,55.0,30.4
3,7.0,29.0,56.0,30.4
3,5.0,29.0,56.0,30.4
3,3.0,29.0,56.0,30.4
3,5.0,29.0,56.0,30.4
3,7.0,30.3,53.0,30.4
3,5.0,30.3,53.0,30.4
3,5.0,30.3,53.0,30.4
3,3.0,27.6,45.0,30.4
3,3.0,27.6,45.0,30.4
3,5.0,27.6,45.0,30.4
3,5.0,30.3,53.0,30.4
3,4.0,28.9,50.0,30.4
3,4.0,28.9,50.0,30.4
3,4.0,28.9,50.0,30.4
3,5.0,28.9,50.0,30.4
3,7.0,28.9,50.0,30.4
3,6.0,28.9,50.0,30.4
3,7.0,33.2,69.0,30.4
3,7.0,33.2,69.0,30.4
3,7.0,33.2,69.0,30.4
3,7.0,33.2,69.0,30.4
3,6.0,33.2,69.0,30.4
3,4.0,27.1,46.0,30.4
3,4.0,27.1,46.0,30.4
3,4.0,27.1,46.0,30.4
3,4.0,27.1,46.0,30.4
3,3.0,27.1,46.0,30.4
3,3.0,27.1,46.0,30.4
3,5.0,29.3,53.0,30.4
3,5.0,29.4,48.0,30.4
3,5.0,28.3,53.0,30.4
3,4.0,28.3,53.0,30.4
3,3.0,28.3,53.0,30.4
3,3.0,28.3,53.0,30.4
3,5.0,28.3,53.0,30.4
3,3.0,28.3,53.0,30.4
3,3.0,27.1,26.0,30.4
3,3.0,27.1,26.0,30.4
3,3.0,26.7,28.0,30.4
3,3.0,26.7,28.0,30.4
3,3.0,27.0,54.0,30.4
3,7.0,27.0,54.0,30.4
3,4.0,27.0,54.0,30.4
3,3.0,27.0,54.0,30.4
3,3.0,26.3,60.0,30.4
3,3.0,26.3,60.0,30.4
3,3.0,26.3,60.0,30.4
3,6.0,26.7,56.0,30.4
3,6.0,26.6,50.0,30.4
3,4.0,26.6,50.0,30.4
3,3.0,26.6,50.0,30.4
3,4.0,26.6,50.0,30.4
3,3.0,26.5,52.0,30.4
3,3.0,26.5,52.0,30.4
3,4.0,26.5,52.0,30.4
3,5.0,32.3,64.0,30.4
3,6.0,32.3,64.0,30.4
3,5.0,32.3,64.0,30.4
3,6.0,33.7,58.0,30.4
3,5.0,33.7,58.0,30.4
3,7.0,33.7,58.0,30.4
3,7.0,33.4,58.0,30.4
3,7.0,33.4,58.0,30.4
3,6.0,33.4,58.0,30.4
3,5.0,33.4,58.0,30.4
3,7.0,33.4,58.0,30.4
3,5.0,34.0,56.0,30.4
3,7.0,34.0,56.0,30.4
3,6.0,34.0,56.0,30.4
3,5.0,34.0,56.0,30.4
3,7.0,34.0,56.0,30.4
3,5.0,34.0,56.0,30.4
3,6.0,33.0,61.0,30.4
3,6.0,33.0,61.0,30.4
3,7.0,33.0,61.0,30.4
3,6.0,33.0,61.0,30.4
3,6.0,33.0,61.0,30.4
3,6.0,33.0,61.0,30.4
3,3.0,25.8,53.0,30.4
3,3.0,25.8,53.0,30.4
3,3.0,25.8,53.0,30.4
3,6.0,25.8,53.0,30.4
3,4.0,25.8,53.0,30.4
3,3.0,25.8,53.0,30.4
3,3.0,24.0,57.0,30.4
3,2.0,24.0,57.0,30.4
3,4.0,24.0,57.0,30.4
3,3.0,24.0,57.0,30.4
3,2.0,24.0,57.0,30.4
3,3.0,25.8,56.0,30.4
3,4.0,25.8,56.0,30.4
3,3.0,25.8,56.0,30.4
3,3.0,25.8,54.0,30.4
3,3.0,25.3,53.0,30.4
3,4.0,27.0,54.0,30.4
3,5.0,27.0,54.0,30.4
3,5.0,27.0,54.0,30.4
3,4.0,27.0,54.0,30.4
3,6.0,27.0,54.0,30.4
3,3.0,27.0,54.0,30.4
3,7.0,27.0,54.0,30.4
3,4.0,27.0,54.0,30.4
3,6.0,33.2,53.0,30.4
3,6.0,33.2,53.0,30.4
3,7.0,33.2,53.0,30.4
3,6.0,33.2,53.0,30.4
3,7.0,33.2,53.0,30.4
3,7.0,33.9,53.0,30.4
3,6.0,33.9,53.0,30.4
3,7.0,33.9,53.0,30.4
3,6.0,33.9,53.0,30.4
3,7.0,33.8,55.0,30.4
3,7.0,33.9,56.0,30.4
3,7.0,34.4,58.0,30.4
3,6.0,33.7,62.0,30.4
3,7.0,33.7,62.0,30.4
3,6.0,33.7,62.0,30.4
3,6.0,33.7,62.0,30.4
3,5.0,33.7,62.0,30.4
3,6.0,33.7,62.0,30.4
3,7.0,33.7,62.0,30.4
3,6.0,35.2,55.0,30.4
3,5.0,35.2,55.0,30.4
3,5.0,32.6,65.0,30.4
3,4.0,25.0,45.0,30.4
3,7.0,25.0,45.0,30.4
3,3.0,28.2,44.0,30.4
3,4.0,28.1,46.0,30.4
3,3.0,28.1,46.0,30.4
3,5.0,28.1,46.0,30.4
3,6.0,28.1,46.0,30.4
3,5.0,28.1,46.0,30.4
3,3.0,28.1,46.0,30.4
3,4.0,24.6,46.0,30.4
3,4.0,24.6,46.0,30.4
3,3.0,24.6,46.0,30.4
3,4.0,24.6,46.0,30.4
3,5.0,32.6,65.0,30.4
3,7.0,32.6,65.0,30.4
3,7.0,32.6,65.0,30.4
3,6.0,32.6,65.0,30.4
3,6.0,32.6,65.0,30.4
3,3.0,26.7,44.0,30.4
3,7.0,26.7,44.0,30.4
3,4.0,26.7,44.0,30.4
3,4.0,26.7,44.0,30.4
3,4.0,26.7,44.0,30.4
3,6.0,26.7,44.0,30.4
3,3.0,26.7,44.0,30.4
3,6.0,26.3,45.0,30.4
3,7.0,26.3,45.0,30.4
3,7.0,26.3,45.0,30.4
3,6.0,26.3,45.0,30.4
3,4.0,25.6,46.0,30.4
3,7.0,25.6,46.0,30.4
3,3.0,25.6,46.0,30.4
3,6.0,25.6,46.0,30.4
3,3.0,25.6,46.0,30.4
3,3.0,25.4,46.0,30.4
3,3.0,25.4,46.0,30.4
3,3.0,25.4,46.0,30.4
3,4.0,25.4,46.0,30.4
3,3.0,25.5,46.0,30.4
3,3.0,25.5,46.0,30.4
3,3.0,25.5,46.0,30.4
3,4.0,25.5,46.0,30.4
3,4.0,26.8,59.0,30.4
3,3.0,26.8,59.0,30.4
3,3.0,26.8,59.0,30.4
3,5.0,27.3,46.0,30.4
3,7.0,27.3,46.0,30.4
3,7.0,27.3,46.0,30.4
3,6.0,27.3,46.0,30.4
3,4.0,27.3,46.0,30.4
3,4.0,27.3,46.0,30.4
3,7.0,26.5,48.0,30.4
3,4.0,26.5,48.0,30.4
3,6.0,26.5,48.0,30.4
3,5.0,26.5,48.0,30.4
3,5.0,26.5,48.0,30.4
3,6.0,26.5,48.0,30.4
3,3.0,26.0,48.0,30.4
3,6.0,26.0,48.0,30.4
3,6.0,26.0,48.0,30.4
3,3.0,26.0,48.0,30.4
3,7.0,26.0,48.0,30.4
3,3.0,26.0,48.0,30.4
3,4.0,26.8,46.0,30.4
3,3.0,26.8,46.0,30.4
3,7.0,26.8,46.0,30.4
3,3.0,26.8,46.0,30.4
3,3.0,26.8,46.0,30.4
3,4.0,26.8,46.0,30.4
3,4.0,26.5,48.0,30.4
3,4.0,26.5,48.0,30.4
3,3.0,26.5,48.0,30.4
3,3.0,26.5,48.0,30.4
3,5.0,26.5,48.0,30.4
3,4.0,26.5,48.0,30.4
3,4.0,27.2,48.0,30.4
3,4.0,27.2,48.0,30.4
3,4.0,27.2,48.0,30.4
3,4.0,27.2,48.0,30.4
3,6.0,27.3,47.0,30.4
3,3.0,27.3,47.0,30.4
3,4.0,27.3,47.0,30.4
3,5.0,27.4,46.0,30.4
3,4.0,27.4,46.0,30.4
3,3.0,27.3,44.0,30.4
3,6.0,26.5,45.0,30.4
3,7.0,26.9,46.0,30.4
3,3.0,27.0,45.0,30.4
3,4.0,27.0,45.0,30.4
3,3.0,26.0,47.0,30.4
3,3.0,26.0,47.0,30.4
3,5.0,26.0,47.0,30.4
3,5.0,26.0,47.0,30.4
3,6.0,27.6,54.0,30.4
3,7.0,27.6,54.0,30.4
3,4.0,27.6,54.0,30.4
3,5.0,29.9,61.0,30.4
3,6.0,29.9,61.0,30.4
3,6.0,29.9,61.0,30.4
3,6.0,29.9,61.0,30.4
3,5.0,29.9,61.0,30.4
3,6.0,29.9,61.0,30.4
3,5.0,29.5,56.0,30.4
3,5.0,29.5,56.0,30.4
3,7.0,29.5,57.0,30.4
3,5.0,29.9,58.0,30.4
3,4.0,28.8,55.0,30.4
3,4.0,28.8,55.0,30.4
3,7.0,29.1,56.0,30.4
3,7.0,29.3,56.0,30.4
3,7.0,29.3,56.0,30.4
3,5.0,29.3,56.0,30.4
3,1.0,23.7,57.0,30.4
3,3.0,23.7,57.0,30.4
3,4.0,23.7,57.0,30.4
3,3.0,25.4,55.0,30.4
3,3.0,25.4,55.0,30.4
3,3.0,25.4,55.0,30.4
3,3.0,25.4,55.0,30.4
3,3.0,25.6,53.0,30.4
3,3.0,25.6,53.0,30.4
3,7.0,25.6,53.0,30.4
3,7.0,25.6,53.0,30.4
3,3.0,23.0,55.0,30.4
3,3.0,23.0,55.0,30.4
3,5.0,23.0,55.0,30.4
3,5.0,23.0,55.0,30.4
3,3.0,23.0,55.0,30.4
3,2.0,23.0,55.0,30.4
3,2.0,23.0,55.0,30.4
3,4.0,25.5,49.0,30.4
3,4.0,25.5,49.0,30.4
3,3.0,25.5,49.0,30.4
3,6.0,25.5,49.0,30.4
3,3.0,25.5,49.0,30.4
3,7.0,25.5,49.0,30.4
3,4.0,26.1,48.0,30.4
3,4.0,26.1,48.0,30.4
3,5.0,23.4,48.0,30.4
3,4.0,23.4,48.0,30.4
3,4.0,23.4,48.0,30.4
3,3.0,27.1,54.0,30.4
3,4.0,27.1,54.0,30.4
3,3.0,27.1,54.0,30.4
3,4.0,27.1,54.0,30.4
3,5.0,27.1,54.0,30.4
3,3.0,27.1,54.0,30.4
3,3.0,27.1,54.0,30.4
3,5.0,27.3,55.0,30.4
3,3.0,27.3,55.0,30.4
3,4.0,25.7,54.0,30.4
3,3.0,25.7,54.0,30.4
3,3.0,25.7,54.0,30.4
3,3.0,25.7,54.0,30.4
3,4.0,25.7,54.0,30.4
3,4.0,25.7,54.0,30.4
3,6.0,25.7,54.0,30.4
3,5.0,25.7,54.0,30.4
3,4.0,26.7,54.0,30.4
3,3.0,26.7,54.0,30.4
3,5.0,26.7,54.0,30.4
3,4.0,26.7,54.0,30.4
3,3.0,26.7,54.0,30.4
3,4.0,26.7,54.0,30.4
3,4.0,26.7,54.0,30.4
3,3.0,26.9,54.0,30.4
3,5.0,26.9,54.0,30.4
3,4.0,26.9,54.0,30.4
3,3.0,26.9,54.0,30.4
3,4.0,26.9,54.0,30.4
3,3.0,26.9,54.0,30.4
3,3.0,26.9,54.0,30.4
3,3.0,27.5,63.0,30.4
3,4.0,27.5,63.0,30.4
3,4.0,27.5,63.0,30.4
3,5.0,27.5,63.0,30.4
3,6.0,27.5,63.0,30.4
3,5.0,27.5,63.0,30.4
3,5.0,27.5,63.0,30.4
3,4.0,26.8,55.0,30.4
3,4.0,26.8,55.0,30.4
3,5.0,26.8,55.0,30.4
3,4.0,26.8,55.0,30.4
3,4.0,26.8,55.0,30.4
3,4.0,26.8,55.0,30.4
3,3.0,26.1,46.0,30.4
3,5.0,26.1,46.0,30.4
3,3.0,26.1,46.0,30.4
3,3.0,26.1,46.0,30.4
3,3.0,26.1,46.0,30.4
3,4.0,26.1,46.0,30.4
3,3.0,25.6,64.0,30.4
3,3.0,25.6,64.0,30.4
3,3.0,25.6,64.0,30.4
3,3.0,25.6,64.0,30.4
3,4.0,25.6,64.0,30.4
3,3.0,25.6,64.0,30.4
3,4.0,26.8,58.0,30.4
3,3.0,26.8,58.0,30.4
3,4.0,26.5,59.0,30.4
3,4.0,26.5,59.0,30.4
3,7.0,28.1,48.0,30.4
3,3.0,27.3,46.0,30.4
3,7.0,27.3,46.0,30.4
3,3.0,27.7,47.0,30.4
3,7.0,27.7,47.0,30.4
3,3.0,28.1,49.0,30.4
3,4.0,28.1,49.0,30.4
3,3.0,28.5,49.0,30.4
3,4.0,28.5,49.0,30.4
3,3.0,28.7,48.0,30.4
3,3.0,28.7,48.0,30.4
